gas_line_gz1,gas_line_gz2,gas_line_predet_build_year,gas_line_predet_cap,gas_line_total_cap
KS,NE,1995,0,4286958
KS,NE,1996,0,4286958
KS,NE,1997,50813,4337771
KS,NE,1998,0,4337771
KS,NE,1999,0,4337771
KS,NE,2000,0,4337771
KS,NE,2001,0,4337771
KS,OK,1990,591090,591090
KS,OK,1994,107848,698938
KS,OK,1995,0,698938
KS,OK,1996,0,698938
KS,OK,1997,0,698938
KS,OK,1998,0,698938
KS,OK,1999,0,698938
KS,OK,2000,82960,781898
KS,OK,2001,0,781898
KY,IL,1990,1865563,1865563
KY,IL,1994,0,1865563
KY,IL,1995,0,1865563
KY,IL,1996,0,1865563
KY,IL,1997,0,1865563
KY,IL,1998,0,1865563
KY,IL,1999,0,1865563
KY,IL,2000,0,1865563
KY,IL,2001,0,1601128
KY,IN,1990,3617056,3617056
KY,IN,1994,74664,3691720
KY,IN,1995,0,3691720
KY,IN,1996,0,3691720
KY,IN,1997,0,3691720
KY,IN,1998,0,3691720
KY,IN,1999,0,3691720
KY,IN,2000,0,3691720
KY,IN,2001,0,3691720
KY,OH,1990,4210220,4210220
KY,OH,1994,107848,4318068
KY,OH,1995,0,4318068
KY,OH,1996,0,4318068
KY,OH,1997,0,4318068
KY,OH,1998,0,4318068
KY,OH,1999,0,4318068
KY,OH,2000,0,4318068
KY,OH,2001,0,4318068
KY,TN,1990,5185,5185
KY,TN,1994,25925,31110
KY,TN,1995,0,31110
KY,TN,1996,0,31110
KY,TN,1997,0,31110
KY,TN,1998,0,31110
KY,TN,1999,0,31110
KY,TN,2000,0,31110
KY,TN,2001,0,31110
KY,VA,1990,51850,51850
KY,VA,1994,0,51850
KY,VA,1995,0,51850
KY,VA,1996,0,51850
KY,VA,1997,0,51850
KY,VA,1998,0,51850
KY,VA,1999,0,51850
KY,VA,2000,0,51850
KY,VA,2001,0,51850
KY,WV,1990,2629832,2629832
KY,WV,1994,0,2629832
KY,WV,1995,0,2629832
KY,WV,1996,0,2629832
KY,WV,1997,0,2629832
KY,WV,1998,0,2629832
KY,WV,1999,318359,2948191
KY,WV,2000,0,2948191
KY,WV,2001,0,2948191
