GAS_ZONES,TIMESERIES,LNG_import_ref_quantity
MA,20021020,459704.432697738
GA,20021020,259994.091041266
LA,20021020,442562.671724447
MD,20021020,358707.393559425
ND,20021020,0
MT,20021020,0
NY,20021020,0
CA,20021020,0
AZ,20021020,0
WA,20021020,0
FL,20021020,0
MS,20021020,0
MN,20021020,0
TX,20021020,0
ID,20021020,0
MI,20021020,0
ME,20021021,0
AZ,20021021,0
WA,20021021,0
MS,20021021,0
MA,20021021,459704.432697738
GA,20021021,259994.091041266
VT,20021021,0
NY,20021021,0
NH,20021021,0
MD,20021021,358707.393559425
CA,20021021,0
MI,20021021,0
FL,20021021,0
TX,20021021,0
LA,20021021,442562.671724447
MT,20021021,0
ID,20021021,0
ND,20021021,0
MN,20021021,0
FL,20021022,0
WA,20021022,0
MT,20021022,0
TX,20021022,0
MD,20021022,358707.393559425
NY,20021022,0
MS,20021022,0
VT,20021022,0
GA,20021022,259994.091041266
LA,20021022,442562.671724447
AZ,20021022,0
ID,20021022,0
CA,20021022,0
ME,20021022,0
MA,20021022,459704.432697738
MI,20021022,0
ND,20021022,0
MN,20021022,0
NH,20021022,0
MN,20021023,0
MT,20021023,0
WA,20021023,0
MI,20021023,0
GA,20021023,259994.091041266
NH,20021023,0
FL,20021023,0
MS,20021023,0
AZ,20021023,0
MD,20021023,358707.393559425
NY,20021023,0
TX,20021023,0
LA,20021023,442562.671724447
ID,20021023,0
CA,20021023,0
ND,20021023,0
ME,20021023,0
VT,20021023,0
MA,20021023,459704.432697738
MD,20021024,358707.393559425
MT,20021024,0
ND,20021024,0
AZ,20021024,0
TX,20021024,0
MS,20021024,0
MA,20021024,459704.432697738
ID,20021024,0
ME,20021024,0
NY,20021024,0
NH,20021024,0
GA,20021024,259994.091041266
WA,20021024,0
MN,20021024,0
LA,20021024,442562.671724447
VT,20021024,0
FL,20021024,0
CA,20021024,0
MI,20021024,0
MS,20021025,0
MI,20021025,0
NH,20021025,0
MN,20021025,0
AZ,20021025,0
TX,20021025,0
MT,20021025,0
CA,20021025,0
ME,20021025,0
WA,20021025,0
MD,20021025,358707.393559425
FL,20021025,0
GA,20021025,259994.091041266
VT,20021025,0
LA,20021025,442562.671724447
MA,20021025,459704.432697738
ND,20021025,0
NY,20021025,0
ID,20021025,0
ID,20021026,0
NH,20021026,0
TX,20021026,0
FL,20021026,0
ME,20021026,0
ND,20021026,0
MD,20021026,358707.393559425
MT,20021026,0
VT,20021026,0
MA,20021026,459704.432697738
WA,20021026,0
MI,20021026,0
AZ,20021026,0
LA,20021026,442562.671724447
MN,20021026,0
GA,20021026,259994.091041266
NY,20021026,0
MS,20021026,0
CA,20021026,0
NH,20021027,0
AZ,20021027,0
MD,20021027,358707.393559425
TX,20021027,0
FL,20021027,0
WA,20021027,0
NY,20021027,0
MS,20021027,0
MA,20021027,459704.432697738
LA,20021027,442562.671724447
MT,20021027,0
VT,20021027,0
MI,20021027,0
ID,20021027,0
GA,20021027,259994.091041266
ND,20021027,0
MN,20021027,0
ME,20021027,0
CA,20021027,0
MN,20021028,0
FL,20021028,0
ID,20021028,0
TX,20021028,0
MA,20021028,459704.432697738
MD,20021028,358707.393559425
NH,20021028,0
VT,20021028,0
GA,20021028,259994.091041266
ME,20021028,0
NY,20021028,0
CA,20021028,0
AZ,20021028,0
MS,20021028,0
WA,20021028,0
LA,20021028,442562.671724447
MI,20021028,0
MT,20021028,0
ND,20021028,0
LA,20021029,442562.671724447
VT,20021029,0
ID,20021029,0
TX,20021029,0
FL,20021029,0
ME,20021029,0
MT,20021029,0
MS,20021029,0
AZ,20021029,0
NH,20021029,0
MI,20021029,0
CA,20021029,0
NY,20021029,0
WA,20021029,0
GA,20021029,259994.091041266
MA,20021029,459704.432697738
ND,20021029,0
MN,20021029,0
MD,20021029,358707.393559425
MT,20021003,0
GA,20021003,259994.091041266
FL,20021003,0
CA,20021003,0
VT,20021003,0
MN,20021003,0
MA,20021003,459704.432697738
ID,20021003,0
NH,20021003,0
MI,20021003,0
MD,20021003,358707.393559425
LA,20021003,442562.671724447
MS,20021003,0
NY,20021003,0
TX,20021003,0
WA,20021003,0
AZ,20021003,0
ME,20021003,0
ND,20021003,0
NY,20021030,0
NH,20021030,0
FL,20021030,0
MD,20021030,358707.393559425
TX,20021030,0
MS,20021030,0
MT,20021030,0
MA,20021030,459704.432697738
ND,20021030,0
ID,20021030,0
CA,20021030,0
WA,20021030,0
MI,20021030,0
GA,20021030,259994.091041266
ME,20021030,0
MN,20021030,0
LA,20021030,442562.671724447
VT,20021030,0
AZ,20021030,0
TX,20021031,0
CA,20021031,0
MT,20021031,0
MI,20021031,0
FL,20021031,0
ID,20021031,0
WA,20021031,0
NH,20021031,0
AZ,20021031,0
VT,20021031,0
ND,20021031,0
MD,20021031,358707.393559425
NY,20021031,0
MA,20021031,459704.432697738
GA,20021031,259994.091041266
MN,20021031,0
LA,20021031,442562.671724447
MS,20021031,0
ME,20021031,0
MN,20021004,0
NY,20021004,0
MI,20021004,0
VT,20021004,0
ME,20021004,0
MS,20021004,0
MD,20021004,358707.393559425
MA,20021004,459704.432697738
ID,20021004,0
TX,20021004,0
LA,20021004,442562.671724447
MT,20021004,0
WA,20021004,0
CA,20021004,0
ND,20021004,0
FL,20021004,0
AZ,20021004,0
NH,20021004,0
GA,20021004,259994.091041266
TX,20021005,0
MT,20021005,0
MA,20021005,459704.432697738
VT,20021005,0
AZ,20021005,0
ME,20021005,0
CA,20021005,0
FL,20021005,0
MD,20021005,358707.393559425
NH,20021005,0
MS,20021005,0
NY,20021005,0
MN,20021005,0
WA,20021005,0
GA,20021005,259994.091041266
ND,20021005,0
LA,20021005,442562.671724447
MI,20021005,0
ID,20021005,0
MI,20021006,0
WA,20021006,0
NY,20021006,0
ID,20021006,0
ME,20021006,0
AZ,20021006,0
MT,20021006,0
LA,20021006,442562.671724447
ND,20021006,0
NH,20021006,0
GA,20021006,259994.091041266
MN,20021006,0
MA,20021006,459704.432697738
CA,20021006,0
MS,20021006,0
TX,20021006,0
FL,20021006,0
VT,20021006,0
MD,20021006,358707.393559425
MT,20021007,0
ND,20021007,0
NY,20021007,0
VT,20021007,0
MS,20021007,0
MN,20021007,0
MA,20021007,459704.432697738
TX,20021007,0
FL,20021007,0
CA,20021007,0
LA,20021007,442562.671724447
MI,20021007,0
GA,20021007,259994.091041266
MD,20021007,358707.393559425
ID,20021007,0
ME,20021007,0
WA,20021007,0
NH,20021007,0
AZ,20021007,0
MA,20021008,459704.432697738
MT,20021008,0
VT,20021008,0
CA,20021008,0
MS,20021008,0
FL,20021008,0
ND,20021008,0
GA,20021008,259994.091041266
LA,20021008,442562.671724447
TX,20021008,0
NY,20021008,0
WA,20021008,0
ID,20021008,0
ME,20021008,0
NH,20021008,0
MI,20021008,0
MN,20021008,0
MD,20021008,358707.393559425
AZ,20021008,0
NY,20021009,0
GA,20021009,259994.091041266
MI,20021009,0
NH,20021009,0
FL,20021009,0
VT,20021009,0
WA,20021009,0
TX,20021009,0
MA,20021009,459704.432697738
ID,20021009,0
LA,20021009,442562.671724447
MS,20021009,0
MT,20021009,0
AZ,20021009,0
MN,20021009,0
ND,20021009,0
ME,20021009,0
MD,20021009,358707.393559425
CA,20021009,0
MT,20021101,0
AZ,20021101,0
NY,20021101,0
WA,20021101,0
ID,20021101,0
LA,20021101,445040.584897506
ND,20021101,0
NH,20021101,0
FL,20021101,0
VT,20021101,0
GA,20021101,261449.800761652
MN,20021101,0
MI,20021101,0
MA,20021101,462278.322775402
CA,20021101,0
MS,20021101,0
TX,20021101,0
MD,20021101,360715.800125463
ME,20021101,0
VT,20021110,0
MS,20021110,0
WA,20021110,0
MT,20021110,0
AZ,20021110,0
ID,20021110,0
MD,20021110,360715.800125463
NY,20021110,0
TX,20021110,0
NH,20021110,0
ME,20021110,0
MN,20021110,0
FL,20021110,0
LA,20021110,445040.584897506
MI,20021110,0
ND,20021110,0
MA,20021110,462278.322775402
CA,20021110,0
GA,20021110,261449.800761652
GA,20021111,261449.800761652
ID,20021111,0
LA,20021111,445040.584897506
WA,20021111,0
MS,20021111,0
ND,20021111,0
ME,20021111,0
MI,20021111,0
TX,20021111,0
MT,20021111,0
NH,20021111,0
FL,20021111,0
CA,20021111,0
MD,20021111,360715.800125463
VT,20021111,0
MN,20021111,0
MA,20021111,462278.322775402
AZ,20021111,0
NY,20021111,0
ND,20021112,0
ID,20021112,0
MN,20021112,0
GA,20021112,261449.800761652
CA,20021112,0
NY,20021112,0
MA,20021112,462278.322775402
MT,20021112,0
ME,20021112,0
MS,20021112,0
WA,20021112,0
VT,20021112,0
FL,20021112,0
TX,20021112,0
MI,20021112,0
NH,20021112,0
AZ,20021112,0
MD,20021112,360715.800125463
LA,20021112,445040.584897506
AZ,20021113,0
MD,20021113,360715.800125463
VT,20021113,0
GA,20021113,261449.800761652
WA,20021113,0
MT,20021113,0
ND,20021113,0
MN,20021113,0
ID,20021113,0
LA,20021113,445040.584897506
ME,20021113,0
MI,20021113,0
CA,20021113,0
MS,20021113,0
FL,20021113,0
MA,20021113,462278.322775402
NY,20021113,0
TX,20021113,0
NH,20021113,0
NY,20021114,0
VT,20021114,0
AZ,20021114,0
TX,20021114,0
ME,20021114,0
CA,20021114,0
MS,20021114,0
MA,20021114,462278.322775402
ID,20021114,0
ND,20021114,0
MT,20021114,0
LA,20021114,445040.584897506
NH,20021114,0
WA,20021114,0
MN,20021114,0
MI,20021114,0
MD,20021114,360715.800125463
FL,20021114,0
GA,20021114,261449.800761652
WA,20021115,0
