LNG_ROUTE,LNG_route_gz1,LNG_route_gz2,LNG_route_distance,LNG_flow_allowed
DC_NM,DC,NM,2647.88161124081,0
DC_NV,DC,NV,3420.41922805942,0
DC_NY,DC,NY,352.045654962323,0
DC_OH,DC,OH,521.574033217652,0
DC_OK,DC,OK,1790.5587933282,0
DC_OR,DC,OR,3784.62764449737,0
DC_PA,DC,PA,172.089748053276,0
DC_RI,DC,RI,568.219918377486,0
DC_SC,DC,SC,651.041163285468,0
DC_SD,DC,SD,1913.93832622358,0
DC_TN,DC,TN,895.010124176956,0
DC_TX,DC,TX,2054.62238393424,0
DC_UT,DC,UT,2976.92330134972,0
DC_VA,DC,VA,140.892725870025,0
DC_VT,DC,VT,674.816214057989,0
DC_WA,DC,WA,3689.44412918462,0
DC_WI,DC,WI,1136.84790426468,0
DC_WV,DC,WV,322.301433396457,0
DC_WY,DC,WY,2549.87514709668,0
DE_FL,DE,FL,1402.03322617706,1
DE_GA,DE,GA,999.738402271395,1
DE_IA,DE,IA,1501.52774747706,1
DE_ID,DE,ID,3302.08173675286,1
DE_IL,DE,IL,1108.2969726327,1
DE_IN,DE,IN,919.46430636326,1
DE_KS,DE,KS,1808.92103131158,0
DE_KY,DE,KY,859.506080199499,0
DE_LA,DE,LA,1739.43401918266,1
DE_MA,DE,MA,479.477411784461,1
DE_MD,DE,MD,109.773414831511,1
DE_ME,DE,ME,731.64152846228,1
DE_MI,DE,MI,823.950865066934,0
DE_MN,DE,MN,1615.9054523131,1
DE_MO,DE,MO,1443.86521904452,1
DE_MS,DE,MS,1468.29109500652,1
DE_MT,DE,MT,2994.06852857617,1
DE_NC,DE,NC,558.264409589105,1
DE_ND,DE,ND,2108.03444424561,1
DE_NE,DE,NE,1854.53637626292,1
DE_NH,DE,NH,543.832845538229,1
DE_NJ,DE,NJ,153.399617947759,1
DE_NM,DE,NM,2774.752588551,1
DE_NV,DE,NV,3536.94559887486,1
DE_NY,DE,NY,250.850629768269,1
DE_OH,DE,OH,627.196082403113,0
DE_OK,DE,OK,1920.81881677219,1
DE_OR,DE,OR,3878.10609833915,1
DE_PA,DE,PA,174.383115399966,1
DE_RI,DE,RI,437.735636131818,1
DE_SC,DE,SC,767.74571473411,1
DE_SD,DE,SD,2009.59459492799,1
DE_TN,DE,TN,1030.30106759521,1
DE_TX,DE,TX,2189.87606290421,1
DE_UT,DE,UT,3086.72288165295,0
DE_VA,DE,VA,261.106699109518,1
DE_VT,DE,VT,574.306022381034,0
DE_WA,DE,WA,3774.93320230142,1
DE_WI,DE,WI,1221.24385994362,1
DE_WV,DE,WV,451.309993087656,0
DE_WY,DE,WY,2653.05724317517,1
FL_GA,FL,GA,654.409607320037,1
FL_IA,FL,IA,1881.24512622031,1
FL_ID,FL,ID,3493.48487500945,1
FL_IL,FL,IL,1619.59815480434,1
FL_IN,FL,IN,1436.10351902092,1
FL_KS,FL,KS,1814.51965737662,0
FL_KY,FL,KY,1162.91817947375,0
FL_LA,FL,LA,1010.65318369312,1
FL_MA,FL,MA,1858.40132604486,1
FL_MD,FL,MD,1337.36287199283,1
FL_ME,FL,ME,2119.39526578247,1
FL_MI,FL,MI,1691.20248954437,0
FL_MN,FL,MN,2204.06404187685,1
FL_MO,FL,MO,1534.09958315681,1
FL_MS,FL,MS,928.940618581053,1
FL_MT,FL,MT,3335.24136670523,1
FL_NC,FL,NC,879.804394711237,1
FL_ND,FL,ND,2661.12611468107,1
FL_NE,FL,NE,2061.23700387887,1
FL_NH,FL,NH,1936.93542550169,1
FL_NJ,FL,NJ,1551.87750328002,1
FL_NM,FL,NM,2463.88585293158,1
FL_NV,FL,NV,3385.52192623178,1
FL_NY,FL,NY,1650.95003596861,1
FL_OH,FL,OH,1410.06170567705,0
FL_OK,FL,OK,1675.41461675803,1
FL_OR,FL,OR,4071.1772364147,1
FL_PA,FL,PA,1469.20619504789,1
FL_RI,FL,RI,1806.36003916384,1
FL_SC,FL,SC,693.110400105192,1
FL_SD,FL,SD,2376.75144104839,1
FL_TN,FL,TN,993.724910003478,1
FL_TX,FL,TX,1561.9260075287,1
FL_UT,FL,UT,3100.5735655683,0
FL_VA,FL,VA,1167.96910234954,1
FL_VT,FL,VT,1975.75818490514,0
FL_WA,FL,WA,4077.14942442175,1
FL_WI,FL,WI,1889.29195037717,1
FL_WV,FL,WV,1224.62500775595,0
FL_WY,FL,WY,2820.97648842593,1
GA_IA,GA,IA,1247.56523420845,1
GA_ID,GA,ID,2949.55874608533,1
GA_IL,GA,IL,965.819231077679,1
GA_IN,GA,IN,782.93004898562,1
GA_KS,GA,KS,1265.07043254541,0
GA_KY,GA,KY,510.187743153789,0
GA_LA,GA,LA,777.76553551662,1
GA_MA,GA,MA,1478.11110925207,1
GA_MD,GA,MD,903.080945889748,1
GA_ME,GA,ME,1722.96847807178,1
GA_MI,GA,MI,1057.43503113204,0
GA_MN,GA,MN,1556.27471300033,1
GA_MO,GA,MO,936.119825791305,1
GA_MS,GA,MS,538.500517672688,1
GA_MT,GA,MT,2749.97344747961,1
GA_NC,GA,NC,456.960501998284,1
GA_ND,GA,ND,2025.09406214653,1
GA_NE,GA,NE,1469.76075037418,1
GA_NH,GA,NH,1534.31133863628,1
GA_NJ,GA,NJ,1150.06762194971,1
GA_NM,GA,NM,2074.17185855143,1
GA_NV,GA,NV,2954.89116047668,1
GA_NY,GA,NY,1217.66798929666,1
GA_OH,GA,OH,794.372212976769,0
