GAS_ZONES,LNG_vaporization_predet_build_year,LNG_vaporization_predet_cap,LNG_vaporization_removed_cap,LNG_vaporization_total_cap
NE,2000,0,0,57600
NE,2001,0,0,57600
NH,1965,0,0,0
NH,1966,0,0,0
NH,1967,0,0,0
NH,1968,0,0,0
NH,1969,0,0,0
NH,1970,0,0,0
NH,1971,0,0,0
NH,1972,4800,0,4800
NH,1973,4800,0,9600
NH,1974,4800,0,14400
NH,1975,0,0,14400
NH,1976,0,0,14400
NH,1977,0,0,14400
NH,1978,0,0,14400
NH,1979,0,0,14400
NH,1980,0,0,14400
NH,1981,0,0,14400
NH,1982,0,0,14400
NH,1983,0,0,14400
NH,1984,0,0,14400
NH,1985,0,0,14400
NH,1986,0,0,14400
NH,1987,0,0,14400
NH,1988,0,0,14400
NH,1989,0,0,14400
NH,1990,0,0,14400
NH,1991,0,0,14400
NH,1992,0,0,14400
NH,1993,0,0,14400
NH,1994,0,0,14400
NH,1995,0,0,14400
NH,1996,0,0,14400
NH,1997,0,0,14400
NH,1998,0,0,14400
NH,1999,0,0,14400
NH,2000,0,0,14400
NH,2001,0,0,14400
NJ,1965,384000,0,384000
NJ,1966,0,0,384000
NJ,1967,0,0,384000
NJ,1968,0,0,384000
NJ,1969,0,0,384000
NJ,1970,0,0,384000
NJ,1971,28800,0,412800
